,vx,vy,omega,vx_cmd,vy_cmd,omega_cmd,filtered_x,filtered_y,x,y
0,0.0,0.0,0.0,-0.9667615431268324,0.8788586281399448,1.34578,0.440562,-0.380633,0.440562,-0.380633
1,-0.2684488018031885,0.220258993568133,-0.10903528230919401,-0.9634035738762968,0.875456160108191,1.35987,0.4322118397862203,-0.3737817945840482,0.430273,-0.372191
2,-0.3914803237066464,0.31704036561672216,-0.10224015102706582,-0.9595992038066101,0.8707556388205131,1.36129,0.42240442899584685,-0.36592151657701755,0.419738,-0.363824
3,-0.45904413340617145,0.3661120713636673,-0.0611530463364027,-0.9523817703799422,0.8627818875961453,1.3515,0.4123804997696997,-0.35811779931149285,0.40974,-0.3562
4,-0.5067919521341577,0.39960605886383926,-0.0024525858986362906,-0.9457851605076287,0.8555452860997826,1.33179,0.4020470031789868,-0.3501634389787965,0.399449,-0.348341
5,-0.5519919439189832,0.42496640686855675,0.06817125705034036,-0.9430736680191356,0.8481178506628269,1.29656,0.39095835313523963,-0.3420977660769368,0.388034,-0.340457
6,-0.5975291195285359,0.44839594100776425,0.1684386973183702,-0.9418198606029196,0.8420809668065757,1.24274,0.3790776537294421,-0.33372963739800915,0.375887,-0.332088
7,-0.6374229527214907,0.4684988661287556,0.2588485869157039,-0.9373868998237513,0.8352201700867959,1.18437,0.36684677149005906,-0.32520965126838625,0.363966,-0.323758
8,-0.6702925372681339,0.47980212909270076,0.34184362106786753,0.0,0.0,1.11649,0.354457509755066,-0.3169603974843367,0.352066,-0.316138
9,-0.6990585977230171,0.48255276952192966,0.4183259407265807,0.0,0.0,1.03875,0.341823495067519,-0.30910099091982973,0.339732,-0.308901
10,-0.633513437753241,0.4283427672113412,0.3543191383394101,0.0,0.0,1.03875,0.3349782099990036,-0.30496931431860264,0.339732,-0.308901
11,-0.5260112712580022,0.35047649812815473,0.29962200078043344,0.0,0.0,1.03875,0.3319508870777805,-0.30326496258493046,0.339732,-0.308901
12,-0.6731443965240569,0.42921649611304913,0.7511703494817878,0.0,0.0,0.748397,0.313809437256264,-0.2924527478880645,0.303172,-0.28676
13,-0.7795015039984653,0.48745244746983885,0.8835140864448394,0.0,0.0,0.607847,0.2960096377921039,-0.2817362794392896,0.288324,-0.277528
14,-0.8386964541428807,0.5169721011158412,0.9998437027527929,0.0,0.0,0.463843,0.27962502464016353,-0.27198588947291996,0.275348,-0.269853
15,-0.8564902602144547,0.5168227463209745,1.1025806470781416,0.0,0.0,0.314198,0.26502968667209037,-0.2637242084094656,0.263744,-0.263735
16,-0.8423886222685419,0.49076858209059754,1.2023245984571835,0.0,0.0,0.154124,0.25225802929232016,-0.25717735131297087,0.253277,-0.25906
17,-0.8040696154369618,0.4496833815375617,1.3082744974751463,0.0,0.0,-0.0125516,0.24131296135633873,-0.2520410684586906,0.244082,-0.25501
18,-0.7497154469525205,0.3991398309118024,1.4050645935480077,0.0,0.0,-0.182346,0.2320410835781723,-0.24818745874960393,0.235969,-0.25184
19,-0.6874687766977338,0.34318466556240335,1.498420295353864,0.0,0.0,-0.358876,0.22416064991220744,-0.2455003150618075,0.228659,-0.249544
20,-0.62064435500997,0.2841810818210437,1.578423115426885,0.0,0.0,-0.535282,0.21757879404816427,-0.24390998318418988,0.222408,-0.248174
21,-0.5539814169701446,0.2271990610049566,1.6542099679281472,0.0,0.0,-0.713353,0.21205545147279609,-0.24313006492945682,0.216873,-0.247248
22,-0.4906591239537012,0.17406738407335082,1.713132548328212,0.0,0.0,-0.888295,0.20737786899190783,-0.24300731727948452,0.211954,-0.246847
23,-0.4303544967669042,0.12737728741026433,1.7394137377828882,0.0,0.0,-1.04713,0.20351394885572943,-0.2433088338923416,0.207872,-0.246683
24,-0.3699917031897975,0.08712299040877354,1.7365540837979234,0.0,0.0,-1.18634,0.20061874690858555,-0.24393193265683338,0.204981,-0.246841
25,-0.30816622984287767,0.05215985678826041,1.6773628296707628,0.0,0.0,-1.29262,0.19878604415261755,-0.24484931109903477,0.203254,-0.247376
26,-0.24698035122270745,0.022080456691162785,1.5696596144497472,0.0,0.0,-1.36944,0.19790026643370975,-0.24600324526994427,0.202322,-0.248177
27,-0.1864752019885541,-0.0014283750516558176,1.4030269097393038,-0.45844924958920086,0.7582512222239398,-1.40553,0.19794846104986133,-0.2472040820769994,0.202321,-0.248903
28,-0.1316161248693022,-0.01837550098771397,1.1731114773341478,-0.4503604386588262,0.7592268109801112,-1.40264,0.1985914870118698,-0.2483472783237871,0.202556,-0.249572
29,-0.08318717757627761,-0.028194547326644552,0.8868904719758852,-0.7156841896920004,0.00013454331914408701,-1.35612,0.1996871745925303,-0.24929040481416656,0.203187,-0.25
30,-0.041844398503940713,-0.03218718439516336,0.5618378652979555,-0.7153668696773074,0.00034930229040847083,-1.26974,0.201089272246397,-0.25000546321443934,0.204077,-0.250294
31,-0.008036071016806416,-0.03003753686349486,0.2380209868791771,-0.7163082991599085,0.00048077088010661795,-1.1547,0.20265476610831912,-0.25037834905435763,0.205098,-0.250223
32,0.015341009684203554,-0.02000721034351035,-0.050096099560842156,-0.6027778950394218,0.6644443633215981,-1.02777,0.2040716033239534,-0.25019586383134196,0.205761,-0.249471
33,0.024850946263817633,-0.0039423572283628465,-0.28459372317070586,-0.602761114278089,0.6629008773068841,-0.908103,0.20494574330259813,-0.2494539623054511,0.205633,-0.248293
34,0.01954394180337643,0.014088603878519072,-0.41760643087093535,-0.5895801851688353,0.6746508276703453,-0.827623,0.2049925224694475,-0.24832504746901377,0.204609,-0.247022
